Entry	Length	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P14680	807	91,245	positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of transcription, DNA-templated [GO:0045893]; protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q03935	383	43,597	negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; transcription, DNA-templated [GO:0006351]	RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding transcription factor recruiting [GO:0001010]	nucleus [GO:0005634]
P0C269	39	4,642			
P0C5L0	52	5,740			
Q8TGU6	64	7,379			
Q12260	438	49,898	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
P38201	376	42,604			
P31244	790	91,430	cellular protein localization [GO:0034613]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; zinc ion binding [GO:0008270]	Cul3-RING ubiquitin ligase complex [GO:0031463]; nucleotide-excision repair factor 4 complex [GO:0000113]
P06779	565	63,777	cellular protein localization [GO:0034613]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]		Cul3-RING ubiquitin ligase complex [GO:0031463]; nucleotide-excision repair factor 4 complex [GO:0000113]
Q04779	684	78,836	histone deacetylation [GO:0016575]; negative regulation of antisense RNA transcription [GO:0060195]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of DNA-dependent DNA replication initiation [GO:0030174]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transfer RNA gene-mediated silencing [GO:0061587]	chromatin binding [GO:0003682]; histone binding [GO:0042393]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription cofactor activity [GO:0003712]; zinc ion binding [GO:0008270]	histone deacetylase complex [GO:0000118]; Rpd3S complex [GO:0032221]
P39531	840	97,471	early endosome to Golgi transport [GO:0034498]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; exocytosis [GO:0006887]; protein transport [GO:0015031]; vesicle docking [GO:0048278]	SNARE binding [GO:0000149]	cell tip [GO:0051286]; cellular bud neck [GO:0005935]; cytosol [GO:0005829]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; site of polarized growth [GO:0030427]
P38086	958	107,946	DNA duplex unwinding [GO:0032508]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; heteroduplex formation [GO:0030491]; meiotic sister chromatid segregation [GO:0045144]; reciprocal meiotic recombination [GO:0007131]	ATP binding [GO:0005524]; DNA-dependent ATPase activity [GO:0008094]; DNA topoisomerase activity [GO:0003916]; DNA translocase activity [GO:0015616]; double-stranded DNA binding [GO:0003690]; helicase activity [GO:0004386]	nucleus [GO:0005634]
Q9ZZX8	53	6,271			mitochondrion [GO:0005739]
Q9ZZW1	134	16,269			mitochondrion [GO:0005739]
P37299	77	8,593	aerobic respiration [GO:0009060]; hydrogen ion transmembrane transport [GO:1902600]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]		mitochondrial respiratory chain complex III [GO:0005750]
P00128	127	14,565	aerobic respiration [GO:0009060]; hydrogen ion transmembrane transport [GO:1902600]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]		mitochondrial respiratory chain complex III [GO:0005750]
P06838	210	24,311	DNA amplification [GO:0006277]; DNA strand renaturation [GO:0000733]; double-strand break repair via single-strand annealing, removal of nonhomologous ends [GO:0000736]; meiotic mismatch repair [GO:0000710]; mitotic recombination [GO:0006312]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; removal of nonhomologous ends [GO:0000735]; UV-damage excision repair [GO:0070914]	damaged DNA binding [GO:0003684]; endonuclease activity [GO:0004519]; single-stranded DNA binding [GO:0003697]	ERCC4-ERCC1 complex [GO:0070522]; nucleotide-excision repair factor 1 complex [GO:0000110]; nucleus [GO:0005634]
P38953	406	46,350	DNA recombinase assembly [GO:0000730]; heteroduplex formation [GO:0030491]; meiotic DNA recombinase assembly [GO:0000707]; mitotic recombination [GO:0006312]; reciprocal meiotic recombination [GO:0007131]; response to ionizing radiation [GO:0010212]; strand invasion [GO:0042148]	ATP binding [GO:0005524]; DNA-dependent ATPase activity [GO:0008094]; double-stranded DNA binding [GO:0003690]; four-way junction DNA binding [GO:0000400]; protein heterodimerization activity [GO:0046982]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]	nucleus [GO:0005634]; Rad51B-Rad51C-Rad51D-XRCC2 complex [GO:0033063]; replication fork [GO:0005657]; Rhp55-Rhp57 complex [GO:0033062]
Q04418	439	50,192	regulation of transcription, DNA-templated [GO:0006355]; transcription from RNA polymerase II promoter [GO:0006366]		cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53721	224	25,344	mitochondrial respiratory chain complex IV assembly [GO:0033617]		integral component of mitochondrial inner membrane [GO:0031305]; mitochondrial respiratory chain supercomplex [GO:0097249]
P25611	832	95,690	positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; response to xenobiotic stimulus [GO:0009410]; transcription, DNA-templated [GO:0006351]	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0000982]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]
A0A0B7P221	28	3,468			
Q08096	367	40,171	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]	endoribonuclease activity [GO:0004521]; enzyme activator activity [GO:0008047]; RNA binding [GO:0003723]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
P38206	574	66,211	carbohydrate transport [GO:0008643]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; glycolipid translocation [GO:0034203]	glycolipid-translocating activity [GO:0034202]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P38339	666	74,619	osmosensory signaling pathway [GO:0007231]; response to acidic pH [GO:0010447]	GTPase activator activity [GO:0005096]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]	actin cortical patch [GO:0030479]; cellular bud [GO:0005933]
Q06624	347	39,273	cellular response to DNA damage stimulus [GO:0006974]; protein sumoylation [GO:0016925]; regulation of mitotic cell cycle [GO:0007346]	small protein activating enzyme activity [GO:0008641]	cytosol [GO:0005829]; nucleus [GO:0005634]; SUMO activating enzyme complex [GO:0031510]
P06780	209	23,152	actin cytoskeleton organization [GO:0030036]; actin cytoskeleton reorganization [GO:0031532]; budding cell bud growth [GO:0007117]; cellular bud neck septin ring organization [GO:0032186]; positive regulation of endocytosis [GO:0045807]; positive regulation of protein kinase C signaling [GO:0090037]; regulation of cell size [GO:0008361]; regulation of cell wall (1->3)-beta-D-glucan biosynthetic process [GO:0090334]; regulation of exocyst localization [GO:0060178]; regulation of fungal-type cell wall organization [GO:0060237]; regulation of protein localization [GO:0032880]; regulation of secondary cell septum biogenesis [GO:1903395]; regulation of vacuole fusion, non-autophagic [GO:0032889]; small GTPase mediated signal transduction [GO:0007264]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	1,3-beta-D-glucan synthase complex [GO:0000148]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]
P33312	244	27,116	riboflavin biosynthetic process [GO:0009231]; RNA modification [GO:0009451]	5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; NADP binding [GO:0050661]	
Q06891	181	21,290	plasmid maintenance [GO:0006276]; plasmid partitioning [GO:0030541]		nucleus [GO:0005634]
P01119	309	34,347	adenylate cyclase-activating G-protein coupled receptor signaling pathway [GO:0007189]; positive regulation of adenylate cyclase activity [GO:0045762]; protein localization to bud neck [GO:0097271]; replicative cell aging [GO:0001302]; small GTPase mediated signal transduction [GO:0007264]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	intracellular [GO:0005622]; plasma membrane [GO:0005886]
Q12270	262	29,500		serine-type endopeptidase activity [GO:0004252]	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; nuclear periphery [GO:0034399]
Q08273	121	13,940	cell division [GO:0051301]; DNA repair [GO:0006281]; G1/S transition of mitotic cell cycle [GO:0000082]; protein neddylation [GO:0045116]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	cullin family protein binding [GO:0097602]; NEDD8 transferase activity [GO:0019788]; protein binding, bridging [GO:0030674]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	Cul2-RING ubiquitin ligase complex [GO:0031462]; Cul3-RING ubiquitin ligase complex [GO:0031463]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul7-RING ubiquitin ligase complex [GO:0031467]; Cul8-RING ubiquitin ligase complex [GO:0035361]; cytoplasm [GO:0005737]; nuclear SCF ubiquitin ligase complex [GO:0043224]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]
Q08742	149	16,697		thiosulfate sulfurtransferase activity [GO:0004792]	mitochondrion [GO:0005739]
P33323	182	20,744	meiotic DNA double-strand break formation [GO:0042138]; reciprocal meiotic recombination [GO:0007131]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]		condensed nuclear chromosome [GO:0000794]
P21538	810	91,874	regulation of transcription from RNA polymerase II promoter [GO:0006357]; termination of RNA polymerase II transcription [GO:0006369]; termination of RNA polymerase I transcription [GO:0006363]	sequence-specific DNA binding [GO:0043565]	nucleoplasm [GO:0005654]
P38234	210	22,921	oxidation-reduction process [GO:0055114]	FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]	cytoplasm [GO:0005737]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
P53295	368	41,006	cytoplasmic translation [GO:0002181]; positive regulation of cellular response to amino acid starvation [GO:1903833]	GTP binding [GO:0005525]	cytoplasm [GO:0005737]
P21827	482	53,014	cell division [GO:0051301]; mitotic nuclear division [GO:0007067]; response to pheromone [GO:0019236]; ribosomal subunit export from nucleus [GO:0000054]; rRNA export from nucleus [GO:0006407]	Ran guanyl-nucleotide exchange factor activity [GO:0005087]; signal transducer activity [GO:0004871]	nuclear chromatin [GO:0000790]; nucleus [GO:0005634]
Q03713	159	18,477	mitochondrial respiratory chain complex IV assembly [GO:0033617]; mitochondrial respiratory chain supercomplex assembly [GO:0097250]		integral component of mitochondrial inner membrane [GO:0031305]; mitochondrial respiratory chain supercomplex [GO:0097249]; mitochondrion [GO:0005739]
Q12305	139	15,413		thiosulfate sulfurtransferase activity [GO:0004792]	mitochondrion [GO:0005739]
P38630	861	94,903	cell division [GO:0051301]; DNA repair [GO:0006281]; leading strand elongation [GO:0006272]; mismatch repair [GO:0006298]; mitotic cell cycle [GO:0000278]	ATP binding [GO:0005524]; DNA clamp loader activity [GO:0003689]	DNA replication factor C complex [GO:0005663]; nucleus [GO:0005634]
P03872	296	33,196	2-micrometer plasmid partitioning [GO:0030543]; protein stabilization [GO:0050821]	identical protein binding [GO:0042802]	nucleus [GO:0005634]
P12689	985	112,227	error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]	damaged DNA binding [GO:0003684]; deoxycytidyl transferase activity [GO:0017125]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]	mitochondrion [GO:0005739]; nucleus [GO:0005634]; replication fork [GO:0005657]
Q08237	289	32,895	ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]	3'-5' exonuclease activity [GO:0008408]; nucleic acid binding [GO:0003676]	nucleus [GO:0005634]
P39083	1007	112,832	actin filament organization [GO:0007015]; budding cell apical bud growth [GO:0007118]; budding cell isotropic bud growth [GO:0007119]; establishment of cell polarity [GO:0030010]; invasive growth in response to glucose limitation [GO:0001403]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; pseudohyphal growth [GO:0007124]; septin ring organization [GO:0031106]	GTPase activator activity [GO:0005096]; zinc ion binding [GO:0008270]	cellular bud neck split septin rings [GO:0032177]
Q00453	211	23,855	positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]	cytosol [GO:0005829]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]
Q99188	309	35,100	adenylate cyclase-modulating G-protein coupled receptor signaling pathway [GO:0007188]	GTPase activator activity [GO:0005096]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P53879	331	36,818	Rho protein signal transduction [GO:0007266]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	endomembrane system [GO:0012505]; fungal-type vacuole membrane [GO:0000329]; plasma membrane [GO:0005886]
P10862	487	55,230	error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; protein monoubiquitination [GO:0006513]; response to UV [GO:0009411]	damaged DNA binding [GO:0003684]; ligase activity [GO:0016874]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]
