Entry	Entry name	Protein names	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)	Length	Mass
P32903	PMP1_YEAST	Plasma membrane ATPase proteolipid 1	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	enzyme regulator activity [GO:0030234]	cation transport [GO:0006812]	40	4,501
Q12412	PNS1_YEAST	Protein PNS1 (pH nine-sensitive protein 1)	integral component of plasma membrane [GO:0005887]		transport [GO:0006810]	539	60,251
P36040	POC2_YEAST	Proteasome assembly chaperone 2 (Alpha-1-proteinase inhibitor-degradation deficient protein 66) (Proteasome biogenesis-associated protein 2)	cytosol [GO:0005829]; nucleus [GO:0005634]; proteasome complex [GO:0000502]		proteasome assembly [GO:0043248]	267	30,739
Q03262	PGM3_YEAST	Phosphoribomutase (PRM) (EC 5.4.2.7) (Phosphoglucomutase 3) (PGM 3)	cytosol [GO:0005829]; nucleus [GO:0005634]	magnesium ion binding [GO:0000287]; phosphopentomutase activity [GO:0008973]	glucose metabolic process [GO:0006006]; guanosine catabolic process [GO:0046115]; inosine catabolic process [GO:0006148]; purine ribonucleoside salvage [GO:0006166]	622	71,069
P36093	PHD1_YEAST	Putative transcription factor PHD1	nucleus [GO:0005634]	DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	positive regulation of pseudohyphal growth [GO:2000222]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; transcription, DNA-templated [GO:0006351]	366	40,646
P05066	PHR_YEAST	Deoxyribodipyrimidine photo-lyase, mitochondrial (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	mitochondrion [GO:0005739]; nucleus [GO:0005634]	deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; mRNA binding [GO:0003729]; nucleotide binding [GO:0000166]	photoreactive repair [GO:0000719]; protein-chromophore linkage [GO:0018298]	565	66,274
P38768	PIH1_YEAST	Protein interacting with Hsp90 1 (Nucleolar protein 17)	cytoplasm [GO:0005737]; nucleus [GO:0005634]; R2TP complex [GO:0097255]; small nucleolar ribonucleoprotein complex [GO:0005732]		box C/D snoRNP assembly [GO:0000492]; mRNA processing [GO:0006397]; protein folding [GO:0006457]; RNA splicing [GO:0008380]; rRNA processing [GO:0006364]	344	39,519
P34217	PIN4_YEAST	RNA-binding protein PIN4 (Psi inducibility protein 4)	cytoplasm [GO:0005737]	nucleotide binding [GO:0000166]; RNA binding [GO:0003723]	DNA damage checkpoint [GO:0000077]; G2/M transition of mitotic cell cycle [GO:0000086]	668	73,776
Q03178	PIR1_YEAST	Cell wall mannoprotein PIR1 (Covalently-linked cell wall protein 6) (Protein with internal repeats 1)	cellular bud scar [GO:0005621]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; nuclear periphery [GO:0034399]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; intracellular protein transport [GO:0006886]	341	34,622
P31382	PMT2_YEAST	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 (EC 2.4.1.109)	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex [GO:0097582]; dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex [GO:0097584]; integral component of membrane [GO:0016021]	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	ER-associated misfolded protein catabolic process [GO:0071712]; fungal-type cell wall organization [GO:0031505]; protein exit from endoplasmic reticulum [GO:0032527]; protein O-linked glycosylation [GO:0006493]; protein O-linked mannosylation [GO:0035269]; regulation of endoplasmic reticulum unfolded protein response [GO:1900101]	759	86,87
Q06644	PMT7_YEAST	Probable dolichyl-phosphate-mannose--protein mannosyltransferase 7 (EC 2.4.1.109)	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex [GO:0097582]; integral component of membrane [GO:0016021]	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	ER-associated misfolded protein catabolic process [GO:0071712]; fungal-type cell wall organization [GO:0031505]; protein glycosylation [GO:0006486]	662	77,57
Q03674	PLB2_YEAST	Lysophospholipase 2 (EC 3.1.1.5) (Phospholipase B 2)	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]	lysophospholipase activity [GO:0004622]	glycerophospholipid metabolic process [GO:0006650]; phospholipid catabolic process [GO:0009395]	706	75,455
Q04383	PLM2_YEAST	Protein PLM2 (Plasmid maintenance protein 2)	nuclear chromatin [GO:0000790]	chromatin binding [GO:0003682]	cellular response to DNA damage stimulus [GO:0006974]	521	58,202
P47190	PMT3_YEAST	Dolichyl-phosphate-mannose--protein mannosyltransferase 3 (EC 2.4.1.109)	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex [GO:0097582]; dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex [GO:0097583]; dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex [GO:0097585]; integral component of membrane [GO:0016021]	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	ER-associated misfolded protein catabolic process [GO:0071712]; fungal-type cell wall organization [GO:0031505]; protein O-linked glycosylation [GO:0006493]; protein O-linked mannosylation [GO:0035269]	753	86,323
P52867	PMT5_YEAST	Dolichyl-phosphate-mannose--protein mannosyltransferase 5 (EC 2.4.1.109)	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex [GO:0097582]; dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex [GO:0097584]; dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex [GO:0097585]; integral component of membrane [GO:0016021]	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	ER-associated misfolded protein catabolic process [GO:0071712]; fungal-type cell wall organization [GO:0031505]; protein glycosylation [GO:0006486]; protein O-linked mannosylation [GO:0035269]	743	84,776
P53184	PNC1_YEAST	Nicotinamidase (EC 3.5.1.19) (Nicotine deamidase) (NAMase)	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; peroxisome [GO:0005777]	metal ion binding [GO:0046872]; nicotinamidase activity [GO:0008936]	chromatin silencing at rDNA [GO:0000183]; chromatin silencing at telomere [GO:0006348]; NAD metabolic process [GO:0019674]; negative regulation of DNA amplification [GO:1904524]; nicotinamide metabolic process [GO:0006769]; nicotinate nucleotide salvage [GO:0019358]; replicative cell aging [GO:0001302]	216	24,993
Q99216	PNO1_YEAST	Pre-rRNA-processing protein PNO1 (Partner of NOB1) (Ribosomal RNA-processing protein 20)	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]	RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; protein complex assembly [GO:0006461]	274	30,332
Q05788	PNPH_YEAST	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	cytoplasm [GO:0005737]; intracellular [GO:0005622]	inosine nucleosidase activity [GO:0047724]; nicotinamide riboside hydrolase activity [GO:0070635]; purine-nucleoside phosphorylase activity [GO:0004731]	guanosine catabolic process [GO:0046115]; inosine catabolic process [GO:0006148]; NAD biosynthesis via nicotinamide riboside salvage pathway [GO:0034356]; nicotinate nucleotide salvage [GO:0019358]; purine-containing compound salvage [GO:0043101]	311	33,755
P38969	PNT1_YEAST	Pentamidine resistance factor, mitochondrial	integral component of mitochondrial inner membrane [GO:0031305]		protein insertion into mitochondrial membrane from inner side [GO:0032979]; response to antibiotic [GO:0046677]	423	48,934
P32838	PP2A4_YEAST	Serine/threonine-protein phosphatase PP2A-like PPG1 (EC 3.1.3.16)		metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	glycogen metabolic process [GO:0005977]; protein dephosphorylation [GO:0006470]	368	42,433
P14747	PP2B2_YEAST	Serine/threonine-protein phosphatase 2B catalytic subunit A2 (EC 3.1.3.16) (Calcineurin A2) (Calmodulin-binding protein 2)	calcineurin complex [GO:0005955]	metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; cellular ion homeostasis [GO:0006873]	604	68,528
P35182	PP2C1_YEAST	Protein phosphatase 2C homolog 1 (PP2C-1) (EC 3.1.3.16)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	inactivation of MAPK activity involved in osmosensory signaling pathway [GO:0000173]; mitochondrion inheritance [GO:0000001]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; protein dephosphorylation [GO:0006470]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	281	31,55
Q05568	PEX10_YEAST	Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10)	integral component of peroxisomal membrane [GO:0005779]; peroxisomal importomer complex [GO:1990429]; peroxisomal membrane [GO:0005778]	ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	protein import into peroxisome matrix [GO:0016558]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]	337	39,099
Q08215	PEX15_YEAST	Peroxisomal membrane protein PEX15 (Peroxin-15) (Peroxisome biosynthesis protein PAS21)	endoplasmic reticulum membrane [GO:0005789]; integral component of peroxisomal membrane [GO:0005779]	protein anchor [GO:0043495]	protein import into peroxisome matrix, receptor recycling [GO:0016562]	383	43,676
P40155	PEX17_YEAST	Peroxisomal membrane protein PEX17 (Peroxin-17)	peroxisomal importomer complex [GO:1990429]; peroxisomal membrane [GO:0005778]; Pex17p-Pex14p docking complex [GO:1990415]		protein import into peroxisome matrix, docking [GO:0016560]	199	23,169
P25584	PEX34_YEAST	Peroxisomal membrane protein PEX34 (Peroxin-34)	integral component of peroxisomal membrane [GO:0005779]		peroxisome organization [GO:0007031]	144	16,593
P33760	PEX6_YEAST	Peroxisomal ATPase PEX6 (Peroxin-6) (Peroxisomal assembly protein 8) (Peroxisome biosynthesis protein PAS8)	cytosol [GO:0005829]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; protein heterodimerization activity [GO:0046982]	protein import into peroxisome matrix, receptor recycling [GO:0016562]; replicative cell aging [GO:0001302]	1030	115,571
P47180	PGLR_YEAST	Polygalacturonase (PG) (EC 3.2.1.15) (PGase SM) (Pectinase)	extracellular region [GO:0005576]	polygalacturonase activity [GO:0004650]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]; pseudohyphal growth [GO:0007124]	361	37,287
P40025	PHM8_YEAST	Phosphate metabolism protein 8		lysophosphatidic acid phosphatase activity [GO:0052642]; nucleotidase activity [GO:0008252]	cellular response to phosphate starvation [GO:0016036]; nucleotide catabolic process [GO:0009166]; response to carbon starvation [GO:0090549]; triglyceride homeostasis [GO:0070328]	321	37,719
P38744	PHS_YEAST	Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)		4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]	tetrahydrobiopterin biosynthetic process [GO:0006729]	120	14,026
P06197	PIS_YEAST	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity [GO:0003881]	phosphatidylinositol biosynthetic process [GO:0006661]	220	24,824
Q03407	PKH1_YEAST	Serine/threonine-protein kinase PKH1 (EC 2.7.11.1) (3-phosphoinositide-dependent protein kinase 1)	cell cortex [GO:0005938]; cytosol [GO:0005829]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]	cytoplasmic mRNA processing body assembly [GO:0033962]; endocytosis [GO:0006897]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; MAPK cascade involved in cell wall organization or biogenesis [GO:0000196]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060211]	766	86,253
Q12017	PLP2_YEAST	Phosducin-like protein 2 (Viral IAP-associated factor 1 homolog)	cytoplasm [GO:0005737]	actin binding [GO:0003779]; G-protein beta/gamma-subunit complex binding [GO:0031683]	negative regulation of signal transduction [GO:0009968]; positive regulation of transcription from RNA polymerase II promoter by pheromones [GO:0007329]; protein folding [GO:0006457]; queuosine biosynthetic process [GO:0008616]	286	32,793
P52553	PFD6_YEAST	Prefoldin subunit 6 (Genes involved in microtubule biogenesis protein 1) (Gim complex subunit 1) (GimC subunit 1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]; prefoldin complex [GO:0016272]	chaperone binding [GO:0051087]; tubulin binding [GO:0015631]	chaperone-mediated protein complex assembly [GO:0051131]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein folding [GO:0006457]; tubulin complex assembly [GO:0007021]	114	13,284
P53872	PGA14_YEAST	Hydrophilin YNL190W	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]		cellular response to water deprivation [GO:0042631]	204	21,966
P53903	PGA2_YEAST	Processing of GAS1 and ALP protein 2	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]		protein transport [GO:0015031]	129	15,053
P40961	PHB1_YEAST	Prohibitin-1	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]		inner mitochondrial membrane organization [GO:0007007]; mitochondrion inheritance [GO:0000001]; mitochondrion morphogenesis [GO:0070584]; negative regulation of proteolysis [GO:0045861]; protein folding [GO:0006457]; replicative cell aging [GO:0001302]	287	31,427
P50947	PHO23_YEAST	Transcriptional regulatory protein PHO23	histone deacetylase complex [GO:0000118]; Rpd3L complex [GO:0033698]	methylated histone binding [GO:0035064]; zinc ion binding [GO:0008270]	chromatin modification [GO:0016569]; chromatin organization [GO:0006325]; negative regulation of chromatin silencing at rDNA [GO:0061188]; negative regulation of chromatin silencing at silent mating-type cassette [GO:0061186]; negative regulation of chromatin silencing at telomere [GO:0031939]; negative regulation of transcription from RNA polymerase I promoter [GO:0016479]; positive regulation of invasive growth in response to glucose limitation [GO:2000219]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; transcription, DNA-templated [GO:0006351]	330	37,024
P38361	PHO89_YEAST	Phosphate permease PHO89 (Na(+)/Pi cotransporter PHO89)	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	identical protein binding [GO:0042802]; inorganic phosphate transmembrane transporter activity [GO:0005315]; sodium:inorganic phosphate symporter activity [GO:0015319]	phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]; transmembrane transport [GO:0055085]	574	62,654
P53191	PIB2_YEAST	Phosphatidylinositol 3-phosphate-binding protein 2	cytoplasmic side of endosome membrane [GO:0010009]; cytosol [GO:0005829]	metal ion binding [GO:0046872]; Rab GTPase binding [GO:0017137]	endocytosis [GO:0006897]; endosomal vesicle fusion [GO:0034058]; Golgi to endosome transport [GO:0006895]; Golgi to vacuole transport [GO:0006896]; vacuole inheritance [GO:0000011]	635	70,617
